Job Title,Company,Job Type,Location,Salary,Job Description
,,,,,"Xylem |ˈzīləm|
1) The tissue in plants that brings water upward from the roots;
2) a leading global water technology company.
Xylem, a leading global water technology company dedicated to solving the world’s most challenging water issues, is the leading global provider of efficient, innovative and sustainable water technologies improving the way water is used, managed, conserved and re-used. Our international team is unified in a common purpose: creating advanced technology and other trusted solutions to solve the world’s water challenges. We are committed to creating an organization of inclusion and diversity, where everyone feels involved, respected, valued and connected, and where everyone is free to bring their authentic selves and ideas.
The Collections Team Leader plays an important role in supporting business growth across Xylem Europe. In this role you will lead the activities with our customer collection processes across the region. Timely feedback to other departments and sales team  is critical for this position. This role reports to Manager, Credit & Collections and provides support to the finance teams and other key stakeholders for the units assigned.
This role requires an enthusiastic and highly motivated professional capable of working in a fast paced environment while collaborating with various business stakeholders in administering the day-to-day operation of Xylem’s Global Finance program.    
 Essential Duties/Principal Responsibilities:
 People Manager for the collections team
Lead the work to reduce the Account receivable position and achieve the AR KPI`s  according to the Group targets
Set collections targets for the team and assign customer portfolios to each team members
Close follow up on the day to day collections activities
Create a real Cash culture within the Sales organization, keeping the financial objectives
Apply the Group Credit Policy and support the standardization of financial processes across the company
Guide and support the team when it comes to collections activities and implementation of action plans
Lead the work with Pre-litigation management and litigation process
Work as a primary regional point of contact for collections & dispute management for local business unit leader and service provider and partner with other O2C functions (i.e. cash applications, and customer master data) and or local business units leaders (i.e. customer service, order management and or sales)  and or with customer as needed to resolve issues
Assist with collections trending and analysis to leadership supporting recommendations for leadership for on-going collection strategies and tactical operations with the service provided
Support audit requests and month end close activities as needed
Support Manager, Credit & Collections in problem solving and fact finding analysis
Gather feedback from relevant stakeholders and make recommendations for technological and process improvement
Other tasks, duties and responsibilities as assigned (i.e. back-up other team members as needed, etc.)
Participation in Xylem Watermark volunteer activities
Minimum Qualifications: Education, Experience, Skills, Abilities, License/Certification:
Bachelor’s degree in Finance, Accounting, Business or related field, plus a minimum of 5 years of relevant experience in a Corporate Finance environment
Previous experience working with Order-to-Cash is required
Previous experience of people management is required
Expertise in customer financial statement analysis, trade reports and credit reference processing preferred
Prior experience and knowledge of regional & global credit bureaus (i.e. Dunn & Bradstreet, Soliditte, Equifax, etc.) is preferred
Fluent  level of English, additional language skills preferred
An understanding of relevant legislation, policies and procedures in the specific countries in the region
Experience in a Regional and or Global environment
Demonstrate both the ability and motivation to work collaboratively in a team environment, across regions and functions, as well as working independently with minimal oversight.
Self-starter who can prioritize tasks and manage deadlines, navigate and be successful in a fast-paced, dynamic work environment.
Excellent analytical skills demonstrating an ability to identify root cause, generating and evaluating alternatives, and implementing solutions.
Proficiency in MS Excel, Word and PowerPoint
Drive process efficiency and work/ life balance through continuous improvement, ensuring the business maximizes shareholder value
Assess current talent and determine staffing levels and strategic plans for talent development and succession planning, including establishing clear objectives, communicating specific performance feedback, and giving timely and thorough performance reviews (CPG)
Lead the Collections team, assess and provide feedback to fully develop high-performing team. 
Manage daily “personal admin” demands (presence sheet, vacations, business trips, expense reports…)
If you are excited and passionate about helping us #letssolvewater, we want to hear from you! For more information, please visit us at www.xylem.com.
We Offer You More Than Just “A Job”
            Professional Development – To advance the capabilities of our people, we offer a wide variety of experiences to support our employees’ professional growth and continuous learning.
Total Rewards – We offer comprehensive programs for compensation, benefits, recognition, learning and development, work-life integration and corporate citizenship.
Watermark – Watermark is our corporate social responsibility program working to provide education and access to safe water to ensure healthy lives, gender equality, and resilient communities. Employees have the opportunity to learn and volunteer on various water-related projects.
Employee Networks – Our Employee Networks provide a professional, supportive network for employees from diverse backgrounds, including Women’s, LGBT+ and Allies, Veteran’s, People of Color and Allies, Emerging Leaders, and Working Parents Networks."
,,,,," Job Ref:  CG4371
 Branch:  The Old Ship Hotel
 Location:  The Old Ship Hotel, Brighton
 Salary/Benefits:  Competitive Salary + benefits package
 Contract type:  Fixed Term
 Hours:  Full Time
 Hours per week:  40
 Posted date:  14/04/2021
 Closing date:  16/05/2021


 At Cairn Group we're ambitious. With a varied and extensive UK portfolio of hotels, bars and restaurants in our portfolio, we're focused on continual growth and are in it for the long haul. We are a family owned business with family values at our core, with a growing team and sites UK wide.
 About the role…
Bar Supervisors are responsible for the daily operations of the bar and service to customers. You will oversee all aspects relating to delivery of our service and customer's experience, such as quality control, staff management, inventory, health and safety regulations and customer service.
 About you…
You will have had previous experience in a similar environment and have the ability to display excellent customer service skills in fast paced environments.
You will also have excellent bar knowledge, good financial awareness with a full understanding of bar revenue streams and cost control.
Applicants must be flexible to work any five out of seven days on a rota basis. We are looking for candidates who are enthusiastic, motivated, good team players, have excellent communication skills and attention to detail in order to deliver outstanding quality and service.
The Old Ship Hotel is Brighton’s most historic hotel, is located on the famous seafront, and is just a short walk from superb shopping, entertainment and other attractions including Britain’s oldest aquarium, Brighton Pier and the British Airways i360.  With parts dating back to 1559, The Old Ship Hotel is steeped in history and royal connections, yet in the heart of this vibrant city, easily accessible from London by road and rail, it’s perfect for discovering Brighton’s fascinating Regency past, strolling on the promenade, or simply enjoying a day on the beach.
 Benefits
Cairn Group Staff Discount Scheme
Retail and travel discounts
Recruit a friend Scheme
Induction and training programme
Star of the Month & Golden Ticket Award
Pension scheme
Meals on Duty
Uniform
Cycle 2 work scheme*
Free use of Gym
* apply to positions above minimum wage"
,,,,," Job Ref:  CG4371
 Branch:  The Old Ship Hotel
 Location:  The Old Ship Hotel, Brighton
 Salary/Benefits:  Competitive Salary + benefits package
 Contract type:  Fixed Term
 Hours:  Full Time
 Hours per week:  40
 Posted date:  14/04/2021
 Closing date:  16/05/2021


 At Cairn Group we're ambitious. With a varied and extensive UK portfolio of hotels, bars and restaurants in our portfolio, we're focused on continual growth and are in it for the long haul. We are a family owned business with family values at our core, with a growing team and sites UK wide.
 About the role…
Bar Supervisors are responsible for the daily operations of the bar and service to customers. You will oversee all aspects relating to delivery of our service and customer's experience, such as quality control, staff management, inventory, health and safety regulations and customer service.
 About you…
You will have had previous experience in a similar environment and have the ability to display excellent customer service skills in fast paced environments.
You will also have excellent bar knowledge, good financial awareness with a full understanding of bar revenue streams and cost control.
Applicants must be flexible to work any five out of seven days on a rota basis. We are looking for candidates who are enthusiastic, motivated, good team players, have excellent communication skills and attention to detail in order to deliver outstanding quality and service.
The Old Ship Hotel is Brighton’s most historic hotel, is located on the famous seafront, and is just a short walk from superb shopping, entertainment and other attractions including Britain’s oldest aquarium, Brighton Pier and the British Airways i360.  With parts dating back to 1559, The Old Ship Hotel is steeped in history and royal connections, yet in the heart of this vibrant city, easily accessible from London by road and rail, it’s perfect for discovering Brighton’s fascinating Regency past, strolling on the promenade, or simply enjoying a day on the beach.
 Benefits
Cairn Group Staff Discount Scheme
Retail and travel discounts
Recruit a friend Scheme
Induction and training programme
Star of the Month & Golden Ticket Award
Pension scheme
Meals on Duty
Uniform
Cycle 2 work scheme*
Free use of Gym
* apply to positions above minimum wage"
,,Full Time,,,"360 Machine Driver

Tamdown is currently looking for a 360 Machine Driver to join their team. This is a permanent role and will be based in Bury St Edmunds, Suffolk. 

360 Machine Driver Duties:


Duties to include operating various sized plant on a large civil project.
360 Machine Driver Requirements: 


Must have previous experience and CPCS Card.
Benefits: 


Competitive Salary
PAYE/CIS Options available
Vans also provided for PAYE candidates.
About the Company: 

Nexus Infrastructure plc and its subsidiaries, Tamdown, TriConnex and eSmart networks is an equal opportunities employer, and we value diversity and promote equality across all of our businesses. We welcome applications from all sections of society and are always happy to discuss reasonable adjustments and/or additional arrangements as required to support your application. The terminology used in this advert is not intended to discriminate against any of the protected characteristics that fall under the Equality Act 2010.

By submitting your application for this position, you are authorising for your personal information to be treated in accordance with GDPR. All information submitted to us in relation to your application will be stored confidentially and will only be used in accordance with the Nexus Infrastructure Privacy Policy.

If you think that you are suitable for this 360 Machine Driver role, please apply now!"
,,Full Time,,,"360 Machine Driver

Tamdown is currently looking for a 360 Machine Driver to join their team. This is a permanent role and will be based in Bury St Edmunds, Suffolk. 

360 Machine Driver Duties:


Duties to include operating various sized plant on a large civil project.
360 Machine Driver Requirements: 


Must have previous experience and CPCS Card.
Benefits: 


Competitive Salary
PAYE/CIS Options available
Vans also provided for PAYE candidates.
About the Company: 

Nexus Infrastructure plc and its subsidiaries, Tamdown, TriConnex and eSmart networks is an equal opportunities employer, and we value diversity and promote equality across all of our businesses. We welcome applications from all sections of society and are always happy to discuss reasonable adjustments and/or additional arrangements as required to support your application. The terminology used in this advert is not intended to discriminate against any of the protected characteristics that fall under the Equality Act 2010.

By submitting your application for this position, you are authorising for your personal information to be treated in accordance with GDPR. All information submitted to us in relation to your application will be stored confidentially and will only be used in accordance with the Nexus Infrastructure Privacy Policy.

If you think that you are suitable for this 360 Machine Driver role, please apply now!"
,,,,," Job Ref:  DO5306
 Branch:  Dobbies Clyde Valley
 Location:  Dobbies Clyde Valley, Carluke
 Salary/Benefits:  Competitive Rate of Pay
 Contract type:  Temporary/Seasonal
 Hours:  Full Time
 Shift pattern:  Flexible shifts throughout the week including weekends
 Hours per week:  30
 Posted date:  13/04/2021
 Closing date:  15/05/2021


 Role Overview
Here at Dobbies Garden Centres, we are looking for a Commis Chef to join our restaurant team.
Our Commis Chefs support the kitchen in all areas of food production/preparation, cleaning and ensuring high levels of service all within Company guidelines and statutory requirements e.g. health & safety; food hygiene etc.  Our restaurants work from scratch, producing a full range of menu items from breakfast, lunch and evening meals.  This is a great opportunity for someone who is keen to gain skills and experience in a full-service operation.
 About You
To be a successful Commis Chef you will be passionate about food and enjoy working with fresh ingredients. You will be able to work well as part of a small team and under the guidance of our head chef but also have the ability to work on your own initiative when required. You will be responsible for preparing hot and cold food throughout the day, including daily specials for our customers. Along with general kitchen duties such as housekeeping, ordering stock, controlling stock levels and wastage, you should be well organised and have excellent food hygiene and presentation standards.
Holding a relevant food safety qualification would be an advantage however not essential as training will be provided.
 What we offer
We offer a generous annual leave entitlement (pro rata for part-time colleagues), a company contributed pension scheme and fantastic staff discount.  Full company training will also be provided to ensure you are confident to succeed in this role. 
 About Dobbies
For 150 years, the Dobbies name has stood for quality. During this time we've been proud to provide the very best products and expert advice to gardeners throughout the UK.
Today Dobbies is UK's largest Garden Centre retailer with stores across Scotland, England and Northern Ireland. Naturally, we have one of the biggest and best ranges of quality plants and gardening equipment around.  You don't have to be an avid gardener to enjoy Dobbies because, as well as having everything to make your garden grow, we have everything you need to simply relax and enjoy your garden – and much more.
Do you think you've got what it takes to grow your career with Dobbies?  Are you passionate about putting customers first?  Do you thrive on being part of a successful team that consistently delivers, flourishing in a busy, fast-paced environment?  If you answered yes then we want to hear from you.  Click apply now to submit your application."
,,,,," Job Ref:  DO5306
 Branch:  Dobbies Clyde Valley
 Location:  Dobbies Clyde Valley, Carluke
 Salary/Benefits:  Competitive Rate of Pay
 Contract type:  Temporary/Seasonal
 Hours:  Full Time
 Shift pattern:  Flexible shifts throughout the week including weekends
 Hours per week:  30
 Posted date:  13/04/2021
 Closing date:  15/05/2021


 Role Overview
Here at Dobbies Garden Centres, we are looking for a Commis Chef to join our restaurant team.
Our Commis Chefs support the kitchen in all areas of food production/preparation, cleaning and ensuring high levels of service all within Company guidelines and statutory requirements e.g. health & safety; food hygiene etc.  Our restaurants work from scratch, producing a full range of menu items from breakfast, lunch and evening meals.  This is a great opportunity for someone who is keen to gain skills and experience in a full-service operation.
 About You
To be a successful Commis Chef you will be passionate about food and enjoy working with fresh ingredients. You will be able to work well as part of a small team and under the guidance of our head chef but also have the ability to work on your own initiative when required. You will be responsible for preparing hot and cold food throughout the day, including daily specials for our customers. Along with general kitchen duties such as housekeeping, ordering stock, controlling stock levels and wastage, you should be well organised and have excellent food hygiene and presentation standards.
Holding a relevant food safety qualification would be an advantage however not essential as training will be provided.
 What we offer
We offer a generous annual leave entitlement (pro rata for part-time colleagues), a company contributed pension scheme and fantastic staff discount.  Full company training will also be provided to ensure you are confident to succeed in this role. 
 About Dobbies
For 150 years, the Dobbies name has stood for quality. During this time we've been proud to provide the very best products and expert advice to gardeners throughout the UK.
Today Dobbies is UK's largest Garden Centre retailer with stores across Scotland, England and Northern Ireland. Naturally, we have one of the biggest and best ranges of quality plants and gardening equipment around.  You don't have to be an avid gardener to enjoy Dobbies because, as well as having everything to make your garden grow, we have everything you need to simply relax and enjoy your garden – and much more.
Do you think you've got what it takes to grow your career with Dobbies?  Are you passionate about putting customers first?  Do you thrive on being part of a successful team that consistently delivers, flourishing in a busy, fast-paced environment?  If you answered yes then we want to hear from you.  Click apply now to submit your application."
,,Full Time,,,"Our client has an opportunity for a Cabling Shift Engineer (Data Centres) – Optic Fibre to join their team in London, Docklands. You will join them on a fulltime,permanent basis and in return, you will receive a competitive salary of £35,800 + shift allowance, travel allowance, Bonus Scheme, excellent pension, life assurance and private health care.
Shift Pattern: 4 days on 4 days off, 8am-8pm, 8pm-8am
The Company is the pioneering data centre colocation provider, an owner operator of Tier III data centres, connectivity and managed ICT solutions to over 2000 market-leading corporations around the world. In the UK their Docklands data centre campus facilitates the majority of the London Internet Exchange’s (LINX) capacity, meaning that they support a huge proportion of all UK internet traffic, making their Docklands campus a globally important internet hub.
Cabling Shift Engineer Role Overview:
Your duties will include installation, preparation, splicing and testing of single-mode and multi-mode optic fibre; installation, termination and testing of category 5 and category 6, UTP, STP and coaxial. You will perform cable moves and all necessary changes to existing systems as required, cable management aiming at maximising capacity and efficiency of the installations. You will be responsible for testing and labelling all installations, providing all relevant record to be presented to the customers according to company standards.
Essential requirements needed to become their Cabling Shift Engineer:
- Significant experience in fusion splicing
- Good experience in copper termination
- Prior experience in cabling within the telecoms industry
- Prior experience of testing and fault-finding on all cable types
- Educated at least to GCSE level
Desirable requirements of their Cabling Shift Engineer:
- Datacoms cabling part 1 (City & Guilds 3466-04) or BTec equivalent
- Fibre Optic installation and testing (City & Guilds 3466-02 & 03) or BTEC equivalent
- Health & Safety in the Work Place 
- Working at Height
- Lifting & Handling
They are looking for an organised and motivated self-starter demonstrating initiative and a methodical approach to work. A great team player always willing to support colleagues and go the extra mile to meet customers’ expectations.
If you feel you have the skills and experience to become their Cabling Shift Engineer then please click ‘Apply’ today!"
,,Full Time,,,"Our client has an opportunity for a Cabling Shift Engineer (Data Centres) – Optic Fibre to join their team in London, Docklands. You will join them on a fulltime,permanent basis and in return, you will receive a competitive salary of £35,800 + shift allowance, travel allowance, Bonus Scheme, excellent pension, life assurance and private health care.
Shift Pattern: 4 days on 4 days off, 8am-8pm, 8pm-8am
The Company is the pioneering data centre colocation provider, an owner operator of Tier III data centres, connectivity and managed ICT solutions to over 2000 market-leading corporations around the world. In the UK their Docklands data centre campus facilitates the majority of the London Internet Exchange’s (LINX) capacity, meaning that they support a huge proportion of all UK internet traffic, making their Docklands campus a globally important internet hub.
Cabling Shift Engineer Role Overview:
Your duties will include installation, preparation, splicing and testing of single-mode and multi-mode optic fibre; installation, termination and testing of category 5 and category 6, UTP, STP and coaxial. You will perform cable moves and all necessary changes to existing systems as required, cable management aiming at maximising capacity and efficiency of the installations. You will be responsible for testing and labelling all installations, providing all relevant record to be presented to the customers according to company standards.
Essential requirements needed to become their Cabling Shift Engineer:
- Significant experience in fusion splicing
- Good experience in copper termination
- Prior experience in cabling within the telecoms industry
- Prior experience of testing and fault-finding on all cable types
- Educated at least to GCSE level
Desirable requirements of their Cabling Shift Engineer:
- Datacoms cabling part 1 (City & Guilds 3466-04) or BTec equivalent
- Fibre Optic installation and testing (City & Guilds 3466-02 & 03) or BTEC equivalent
- Health & Safety in the Work Place 
- Working at Height
- Lifting & Handling
They are looking for an organised and motivated self-starter demonstrating initiative and a methodical approach to work. A great team player always willing to support colleagues and go the extra mile to meet customers’ expectations.
If you feel you have the skills and experience to become their Cabling Shift Engineer then please click ‘Apply’ today!"
,,,,," Job Ref:  RBH6864
 Branch:  DoubleTree by Hilton Edinburgh City
 Location:  DoubleTree by Hilton Edinburgh City, Edinburgh
 Salary/Benefits:  NMW/NLW + Benefits
 Contract type:  Casual
 Hours:  Part Time
 Shift pattern:  flexible
 Hours per week:  0
 Posted date:  14/04/2021
 Closing date:  16/05/2021


At DoubleTree by Hilton Edinburgh City Centre we are looking for exceptional people to provide outstanding service to our guests and who put our people at the heart of everything we do.

 The Exciting Opportunity

The position of Food & Beverage Team Member has become available at DoubleTree by Hilton Edinburgh City Centre. Reporting into the F&B Manager, you will be responsible for providing exceptional guest service that anticipates guests needs, preparing department that is ready for service and ensuring the operation is left ready for the next shift. The successful applicant for this role will deliver excellent customer service, have a positive ‘can do' attitude, be willing to learn and show that they care.
 

 Where Will You Be Working?
DoubleTree by Hilton Edinburgh city Centre is a 4 star city centre hotel with 138 bedrooms with a relaxed and chilled bar, a brasserie that wants to excite your senses and is home to Edinburgh's Iconic SKYbar.  We put the human touch back into your travel experience, ideally located in the heart of the city, within walking distance of both Waverly and Haymarket station and just 30 minutes from Edinburgh airport


 What's In It For You?

People love to work with RBH Management Hotels because…
We focus on health, wellbeing and our communities
Our people are truly engaged at work
There's open, clear communication from the top
We've got great career development opportunities
There's a culture of transformation and innovation

We will give you a competitive salary and opportunities to learn new skills and grow your career. You will receive a benefits package that includes;
Discounted hotel room rates for you AND your friends and family that will make you really popular!
Incentive programmes
Money off high street retailers
Flexible working arrangements because we know your life comes first
Free meals on duty 

 What Are We Looking For?

We are looking for someone who can communicate well with others, can carry out instructions, is able to pay close attention to detail and will commit to providing outstanding service to our guests. Experience of working within hospitality is preferable but full training is provided.

The Bigger Picture

DoubleTree by Hilton Edinburgh City Centre is managed by RBH Management Hotels; an independent hotel management company, working in partnership with six of the most prestigious hotel brands including IHG, Hilton, Starwood, Accor, Marriot and Wyndham. At Redefine|BDL we stand out from our peers, transforming hotels to perform exceptionally.

So if you have the ambition to continuously improve, deliver results with excellence, show that you care and act with integrity then come and join us, this is just the job for you!
ENJOY A WARM WELCOME THE MOMENT YOU ARRIVE AT DOUBLETREE BY HILTON EDINBURGH CITY CENTRE AS OUR FRIENDLY STAFF OFFER YOU A FRESHLY BAKED CHOCOLATE CHIP COOKIE.
DoubleTree by Hilton Edinburgh City Centre was opened in 1892 as a branch of St. Cuthberts Co-operative Society. Now a stunning hub in the centre of Scotland’s capital city, DoubleTree by Hilton Edinburgh City Centre is committed to bringing you the best inner city hotel experience, mirroring the vibrancy of Scotland’s Festival Capital.
This central Edinburgh hotel is stylishly appointed with 139 rooms and our Bread Street Brasserie restaurant and Monboddo bar serve the very finest in local produce in sleek surroundings."
,,,,," Job Ref:  RBH6864
 Branch:  DoubleTree by Hilton Edinburgh City
 Location:  DoubleTree by Hilton Edinburgh City, Edinburgh
 Salary/Benefits:  NMW/NLW + Benefits
 Contract type:  Casual
 Hours:  Part Time
 Shift pattern:  flexible
 Hours per week:  0
 Posted date:  14/04/2021
 Closing date:  16/05/2021


At DoubleTree by Hilton Edinburgh City Centre we are looking for exceptional people to provide outstanding service to our guests and who put our people at the heart of everything we do.

 The Exciting Opportunity

The position of Food & Beverage Team Member has become available at DoubleTree by Hilton Edinburgh City Centre. Reporting into the F&B Manager, you will be responsible for providing exceptional guest service that anticipates guests needs, preparing department that is ready for service and ensuring the operation is left ready for the next shift. The successful applicant for this role will deliver excellent customer service, have a positive ‘can do' attitude, be willing to learn and show that they care.
 

 Where Will You Be Working?
DoubleTree by Hilton Edinburgh city Centre is a 4 star city centre hotel with 138 bedrooms with a relaxed and chilled bar, a brasserie that wants to excite your senses and is home to Edinburgh's Iconic SKYbar.  We put the human touch back into your travel experience, ideally located in the heart of the city, within walking distance of both Waverly and Haymarket station and just 30 minutes from Edinburgh airport


 What's In It For You?

People love to work with RBH Management Hotels because…
We focus on health, wellbeing and our communities
Our people are truly engaged at work
There's open, clear communication from the top
We've got great career development opportunities
There's a culture of transformation and innovation

We will give you a competitive salary and opportunities to learn new skills and grow your career. You will receive a benefits package that includes;
Discounted hotel room rates for you AND your friends and family that will make you really popular!
Incentive programmes
Money off high street retailers
Flexible working arrangements because we know your life comes first
Free meals on duty 

 What Are We Looking For?

We are looking for someone who can communicate well with others, can carry out instructions, is able to pay close attention to detail and will commit to providing outstanding service to our guests. Experience of working within hospitality is preferable but full training is provided.

The Bigger Picture

DoubleTree by Hilton Edinburgh City Centre is managed by RBH Management Hotels; an independent hotel management company, working in partnership with six of the most prestigious hotel brands including IHG, Hilton, Starwood, Accor, Marriot and Wyndham. At Redefine|BDL we stand out from our peers, transforming hotels to perform exceptionally.

So if you have the ambition to continuously improve, deliver results with excellence, show that you care and act with integrity then come and join us, this is just the job for you!
ENJOY A WARM WELCOME THE MOMENT YOU ARRIVE AT DOUBLETREE BY HILTON EDINBURGH CITY CENTRE AS OUR FRIENDLY STAFF OFFER YOU A FRESHLY BAKED CHOCOLATE CHIP COOKIE.
DoubleTree by Hilton Edinburgh City Centre was opened in 1892 as a branch of St. Cuthberts Co-operative Society. Now a stunning hub in the centre of Scotland’s capital city, DoubleTree by Hilton Edinburgh City Centre is committed to bringing you the best inner city hotel experience, mirroring the vibrancy of Scotland’s Festival Capital.
This central Edinburgh hotel is stylishly appointed with 139 rooms and our Bread Street Brasserie restaurant and Monboddo bar serve the very finest in local produce in sleek surroundings."
,,,,,"Kindertons have a very exciting opportunity for someone to join our internal ACE team.
This position is initially a three-month secondment on current renumeration terms. The period of secondment will end after the implementation and incubation of the digital transformation of ACE.
As an ACE Configurator to configure the off-shelf ICE platform that Kindertons Group has invested in as its claims and recoveries software solution. The ACE Configurator will also present training to Kindertons Group users and act as subject matter experts as part of the adoption of this software through implementation. There will also be exposure to the new fleet system as part of this exciting role!
You should have excellent interpersonal and motivational skills – able to demonstrate the drive and enthusiasm to make a difference as well as success in leadership of culture change to drive improved performance.
The preferred individual:
You should have strong motivational skills, a good communicator who works well individually and as part of a team.
Be customer focused attitude and 360 degree outlook
With the ability to think strategically and then implement.
Abie to complete repetitive tasks to a high standard of accuracy
Strong presentation skills, with the ability to articulate and present views cogently.
It Is essential you are able to build relationships at all levels of the business. 
Be able to work to the needs of all stakeholders and partners.
You should be a team player, effectively co-operating with colleagues and supporting peer to peer as necessary
Drawn from own business knowledge, with a practical and pragmatic way of thinking.
To be able to identify issues and produce solutions
A good listener who will capture the detail in direction
Your main responsibilities:
Configure the ICE claims and recoveries software with an impeccable level of attention to detail, documenting configuration in a best practice format
Communicate with all levels of stakeholder across the group to ensure clarity of business requirements and fit for purpose configuration
Champion the need for end user involvement in all aspects of the ACE programme including running user feedback sessions through design, testing and post go live
Support Crimson in the delivery of the new fleet and CRM systems
Complete peer reviews of configuration
Provide support to the ACE programme on delivering capability and the business in ensuring a smooth transition to new software and maximising the benefits to the group
Essential experience and role requirements:
Knowledge of Operational processes.
Basic understanding of configuration in a low code / no code software environment
A willingness to learn and understand Agile project methodology principles
Experience of working a core operational area of a Kindertons Group CHO (Claims, Recoveries, Transport.
Please note, to be considered for the position:
You must be a Level 2 handler or above.
There is no salary change with the position. 
All applicants must submit an internal application for you can find this on Cascade or you can contact the recruitment team and request a form from 
rs"
,,,,,"Kindertons have a very exciting opportunity for someone to join our internal ACE team.
This position is initially a three-month secondment on current renumeration terms. The period of secondment will end after the implementation and incubation of the digital transformation of ACE.
As an ACE Configurator to configure the off-shelf ICE platform that Kindertons Group has invested in as its claims and recoveries software solution. The ACE Configurator will also present training to Kindertons Group users and act as subject matter experts as part of the adoption of this software through implementation. There will also be exposure to the new fleet system as part of this exciting role!
You should have excellent interpersonal and motivational skills – able to demonstrate the drive and enthusiasm to make a difference as well as success in leadership of culture change to drive improved performance.
The preferred individual:
You should have strong motivational skills, a good communicator who works well individually and as part of a team.
Be customer focused attitude and 360 degree outlook
With the ability to think strategically and then implement.
Abie to complete repetitive tasks to a high standard of accuracy
Strong presentation skills, with the ability to articulate and present views cogently.
It Is essential you are able to build relationships at all levels of the business. 
Be able to work to the needs of all stakeholders and partners.
You should be a team player, effectively co-operating with colleagues and supporting peer to peer as necessary
Drawn from own business knowledge, with a practical and pragmatic way of thinking.
To be able to identify issues and produce solutions
A good listener who will capture the detail in direction
Your main responsibilities:
Configure the ICE claims and recoveries software with an impeccable level of attention to detail, documenting configuration in a best practice format
Communicate with all levels of stakeholder across the group to ensure clarity of business requirements and fit for purpose configuration
Champion the need for end user involvement in all aspects of the ACE programme including running user feedback sessions through design, testing and post go live
Support Crimson in the delivery of the new fleet and CRM systems
Complete peer reviews of configuration
Provide support to the ACE programme on delivering capability and the business in ensuring a smooth transition to new software and maximising the benefits to the group
Essential experience and role requirements:
Knowledge of Operational processes.
Basic understanding of configuration in a low code / no code software environment
A willingness to learn and understand Agile project methodology principles
Experience of working a core operational area of a Kindertons Group CHO (Claims, Recoveries, Transport.
Please note, to be considered for the position:
You must be a Level 2 handler or above.
There is no salary change with the position. 
All applicants must submit an internal application for you can find this on Cascade or you can contact the recruitment team and request a form from 
rs"
